
KNN(9 Neighbors)
Accuracy: 0.843236074270557
Execution time: 88.36923289299011 seconds
Classification Report:
              precision    recall  f1-score   support

           0       0.82      0.86      0.84       151
           1       0.77      0.80      0.78       202
           2       0.71      0.74      0.73       195
           3       0.58      0.76      0.66       183
           4       0.77      0.77      0.77       205
           5       0.84      0.77      0.80       215
           6       0.81      0.53      0.64       193
           7       0.86      0.88      0.87       196
           8       0.89      0.93      0.91       168
           9       0.95      0.96      0.96       211
          10       0.89      0.97      0.93       198
          11       0.94      0.95      0.94       201
          12       0.81      0.76      0.78       202
          13       0.95      0.87      0.91       194
          14       0.91      0.95      0.93       189
          15       0.86      0.89      0.88       202
          16       0.90      0.94      0.92       188
          17       0.92      0.97      0.95       182
          18       0.93      0.81      0.87       159
          19       0.83      0.72      0.77       136

    accuracy                           0.84      3770
   macro avg       0.85      0.84      0.84      3770
weighted avg       0.85      0.84      0.84      3770
